aDPS,rDPS,nDPS,Class
6482.605033,6289.507851,6289.507851,WHM
6399.838138,6288.995116,6288.995116,SGE
6491.664948,6287.794089,6287.794089,WHM
5247.090071,6286.019433,5070.25123,AST
6615.152932,6285.649029,6285.649029,WHM
6481.62937,6285.208438,6285.208438,SGE
6608.532636,6285.075368,6285.075368,WHM
6480.427366,6284.204736,6284.204736,WHM
5072.950991,6281.440968,4889.554478,AST
6606.662344,6280.063853,6280.063853,SGE
6620.553739,6279.472468,6279.472468,SGE
6545.136324,6278.771045,6278.771045,SGE
5200.099202,6278.254526,4983.808236,AST
6576.795187,6276.742816,6276.742816,SGE
6591.09154,6276.134018,6276.134018,SGE
6514.187899,6275.886527,6275.886527,SGE
6467.9082,6275.254799,6275.254799,SGE
5235.4006,6272.229633,4992.898251,AST
5134.120141,6270.739887,4928.302558,AST
5073.869331,6270.437913,4926.251479,AST
6446.452719,6267.971446,6267.971446,SGE
6489.590909,6266.878084,6266.878084,SGE
6516.894971,6266.87163,6266.87163,SGE
6461.518881,6260.767727,6260.767727,SGE
6441.967839,6260.754385,6260.754385,SGE
6464.427652,6259.611408,6259.611408,SGE
5350.997437,6259.327505,5011.787894,AST
6494.192793,6258.551408,6258.551408,SGE
5153.966875,6258.208722,4963.209547,AST
6523.84238,6256.90421,6256.90421,SGE
4978.9668,6256.83321,4844.803355,AST
6487.720494,6255.420353,6255.420353,SGE
6503.640638,6251.502981,6251.502981,SGE
6365.636471,6251.261718,6251.261718,SGE
6362.753375,6250.689788,6250.689788,SGE
6520.741059,6248.865335,6248.865335,SGE
6476.814983,6245.154629,6245.154629,SGE
6346.085657,6241.88351,6241.88351,SGE
6524.727986,6240.090919,6240.090919,SGE
6447.195437,6239.997617,6239.997617,SGE
6526.637159,6238.63963,6238.63963,SGE
6484.536285,6234.912067,6234.912067,SGE
6406.865948,6233.915573,6233.915573,SGE
6384.11691,6232.766832,6232.766832,SGE
6456.096174,6231.405627,6231.405627,SGE
6417.00693,6231.381535,6231.381535,SGE
6519.493409,6230.859408,6230.859408,SGE
6477.138966,6230.78444,6230.78444,SGE
6462.676353,6230.023109,6230.023109,SGE
6506.7942,6229.939373,6229.939373,SGE
6521.318197,6225.913855,6225.913855,SGE
6486.473757,6225.553955,6225.553955,SGE
6597.675448,6224.318386,6224.318386,SGE
6565.357914,7277.690273,6280.011444,SCH
6475.600078,7213.536864,6282.185914,SCH
6553.168698,7190.153881,6244.97481,SCH
6481.746935,7179.240409,6205.779723,SCH
6613.204107,7166.841014,6353.490675,SCH
6451.251724,7166.39756,6259.473766,SCH
6454.741379,7165.774569,6260.103504,SCH
6614.008132,7140.407606,6352.203372,SCH
6340.532329,7130.016451,6150.852692,SCH
6533.785794,7105.661746,6144.480129,SCH
5566.482913,7073.747033,5420.169798,AST
6516.391285,7056.755515,6279.62065,SCH
5491.055007,7051.783695,5273.328265,AST
6520.58007,7050.60435,6173.92491,SCH
6372.960899,7043.636098,6114.033361,SCH
6434.815008,7040.142493,6061.796986,SCH
5598.557959,7020.047907,5359.42772,AST
6444.09358,7018.738037,6150.81171,SCH
6328.013102,7011.520343,6120.12579,SCH
6341.291832,7002.694472,6045.653263,SCH
6426.670209,6992.782264,6102.619772,SCH
5629.856575,6990.944308,5456.092564,AST
6535.15286,6990.455013,6193.466924,SCH
6371.299151,6981.752279,6106.293225,SCH
6474.088598,6980.04367,6224.23301,SCH
6384.083784,6976.534714,6199.741072,SCH
6455.840136,6974.362522,6314.746635,SCH
6404.296914,6964.447076,6294.253272,SCH
6466.957757,6959.010741,6231.537157,SCH
6360.939705,6955.668888,6014.508287,SCH
6458.755436,6955.291968,6187.642637,SCH
5692.646841,6941.963287,5352.289374,AST
6427.771136,6939.822742,6094.978915,SCH
6324.49722,6939.645691,6162.823603,SCH
6425.658975,6934.297615,6145.477016,SCH
5557.915998,6933.674097,5393.645904,AST
6459.058895,6919.537713,6164.944445,SCH
6233.297563,6918.679182,5969.589466,SCH
6330.322489,6913.283673,6151.118903,SCH
6370.905432,6912.108837,6130.369228,SCH
6279.118409,6911.268654,6061.364274,SCH
6380.33536,6904.637296,6194.075564,SCH
5533.749536,6899.174469,5152.26495,AST
6226.562172,6896.706551,6131.030473,SCH
6321.706221,6890.820416,6068.064948,SCH
6407.23202,6888.127714,6161.927714,SCH
6329.850078,6886.231611,5989.664687,SCH
5550.41285,6884.267327,5284.639219,AST
6243.348808,6883.75829,6107.264174,SCH
6341.680707,6876.263042,6142.659089,SCH
6215.720902,6875.435145,6055.93378,SCH
6358.528524,6875.204403,6027.991886,SCH
5558.251974,6874.872969,5254.769636,AST
6166.263136,6872.778996,5944.836323,SCH
6381.342981,6869.221772,6035.255188,SCH
6208.781828,6865.45274,6034.908181,SCH
6232.527736,6865.211897,5919.560433,SCH
6369.406488,6862.445083,6154.31733,SCH
6338.821905,6861.711957,6056.446995,SCH
5547.061644,6858.62992,5287.584897,AST
5635.600835,6851.145527,5374.960578,AST
6243.735068,6850.81459,6001.834047,SCH
5604.278011,6848.799167,5356.838561,AST
6262.757767,6843.674758,6106.852491,SCH
6289.745936,6836.632253,5977.776602,SCH
6306.040801,6830.813178,6080.07836,SCH
6110.589159,6827.37512,5928.261817,SCH
6181.349322,6826.738403,5963.913658,SCH
6210.972015,6825.781767,5847.56209,SCH
6262.005607,6824.545008,5985.365277,SCH
6213.479254,6824.269432,6011.022313,SCH
6274.184281,6821.720024,5964.163223,SCH
6341.745303,6819.739118,6101.485192,SCH
6378.363942,6819.59419,6104.502725,SCH
6396.368262,6817.266922,6102.635527,SCH
6280.092552,6815.227061,6060.829792,SCH
6368.354817,6815.124003,6137.839689,SCH
6310.439675,6807.934848,6007.369939,SCH
7079.884278,6804.285189,6804.285189,WHM
6241.240947,6803.548548,6078.453704,SCH
6076.289234,6802.399238,5860.810444,SCH
6142.35584,6800.434726,5955.702037,SCH
6238.736196,6797.743307,6046.507227,SCH
6186.415964,6794.533339,5971.366178,SCH
6163.887862,6793.183466,6015.396196,SCH
6150.487454,6792.891531,5946.03291,SCH
6275.150826,6792.690399,5990.821682,SCH
6222.927347,6787.669503,5959.945301,SCH
6225.609351,6787.1874,5979.681426,SCH
5567.933243,6786.311835,5342.306354,AST
5489.582617,6785.299201,5309.804431,AST
5466.354847,6783.366843,5262.199621,AST
6302.196546,6780.274734,6075.710943,SCH
5465.70675,6779.601447,5315.000334,AST
6279.480436,6778.516452,5975.322856,SCH
6213.829821,6777.000887,5971.712835,SCH
5548.203321,6775.669879,5374.272652,AST
6077.471512,6775.555611,5845.741228,SCH
6198.0052,6774.268593,6027.530036,SCH
6257.920568,6771.407328,5936.926957,SCH
6122.697418,6770.873284,5891.850625,SCH
6200.601518,6768.878642,5955.089606,SCH
6305.015336,6767.129889,6018.209276,SCH
6172.957708,6765.727585,6019.72855,SCH
6217.028287,6765.704506,5961.1181,SCH
5442.961279,6765.36112,5275.887506,AST
6181.271165,6763.249699,6030.961564,SCH
5463.08595,6759.271014,5213.079221,AST
6081.851894,6758.073682,5898.245323,SCH
6246.582621,6755.133876,5872.582699,SCH
6172.932013,6754.286249,6061.188202,SCH
7188.506889,6753.166279,6753.166279,WHM
5522.820131,6752.505803,5320.84812,AST
6250.090975,6752.146672,5884.478758,SCH
6024.699478,6751.302556,5904.131818,SCH
7219.479529,6750.918155,6750.918155,WHM
5690.010706,6750.904951,5357.207623,AST
5374.501402,6750.671633,5094.33095,AST
5472.371973,6749.558721,5372.845195,AST
7102.919261,6749.434546,6749.434546,SGE
5471.701992,6746.945236,5304.11412,AST
6147.605169,6745.909466,5970.474628,SCH
6321.898003,6744.676991,5963.308275,SCH
5513.537782,6743.622359,5281.655036,AST
6142.743554,6743.448162,5926.159083,SCH
5403.242557,6743.359794,5104.826302,AST
5554.758313,6743.02817,5285.516076,AST
7109.545311,6741.912308,6741.912308,WHM
6104.490477,6741.109895,5922.446711,SCH
6118.63155,6736.884711,5759.536349,SCH
5328.466672,6735.68976,5165.163965,AST
6216.739415,6732.784591,5979.639815,SCH
5341.785036,6731.722757,5218.079862,AST
6169.768761,6729.49069,5948.42075,SCH
5458.095475,6725.977555,5238.491946,AST
7229.240977,6722.807312,6722.807312,WHM
5379.32784,6719.820246,5152.123611,AST
7029.142753,6718.806087,6718.806087,SGE
6913.870603,6716.73963,6716.73963,SGE
6942.503597,6715.513674,6715.513674,WHM
5590.893552,6711.559471,5334.502941,AST
5524.318147,6697.960584,5265.296899,AST
5519.49514,6695.138264,5310.245245,AST
5388.958933,6692.978439,5219.417986,AST
5370.242011,6688.778691,5121.286413,AST
5488.788739,6684.237969,5246.460371,AST
6997.94857,6683.835583,6683.835583,WHM
6815.46667,6681.187186,6681.187186,SGE
7025.88278,6677.112621,6677.112621,WHM
6793.428982,6676.211912,6676.211912,SGE
6922.52655,6675.54595,6675.54595,WHM
6780.692335,6669.28727,6669.28727,SGE
5429.445271,6663.755572,5249.833054,AST
5448.709379,6659.873183,5298.082166,AST
7061.283368,6658.601886,6658.601886,WHM
6805.190881,6656.989456,6656.989456,SGE
6982.487996,6654.80311,6654.80311,SGE
5333.586137,6654.525313,5209.480195,AST
6903.736857,6648.064253,6648.064253,WHM
6890.015426,6647.020465,6647.020465,SGE
5445.489109,6642.59828,5234.507104,AST
5466.342741,6642.244143,5180.637504,AST
5321.76437,6641.520081,5153.781097,AST
6886.912571,6639.312761,6639.312761,SGE
5279.972356,6638.595648,5153.239853,AST
6881.490614,6637.53038,6637.53038,SGE
5439.153099,6635.934668,5219.78417,AST
6867.997439,6635.898848,6635.898848,WHM
5420.495303,6634.130793,5164.32162,AST
5638.279313,6632.220228,5305.589493,AST
5355.577577,6631.032328,5124.448185,AST
5575.225655,6628.482224,5197.697726,AST
6861.719242,6626.53855,6626.53855,WHM
7082.557649,6625.034071,6625.034071,WHM
5372.414053,6624.380696,5215.617809,AST
7001.807473,6623.43394,6623.43394,SGE
5374.739813,6622.52512,5152.611924,AST
7077.443742,6619.236058,6619.236058,WHM
6729.927585,6617.070012,6617.070012,WHM
6937.221666,6616.906958,6616.906958,WHM
5435.226331,6614.285884,5260.656133,AST
5268.68489,6613.444286,5141.54295,AST
6871.637546,6611.801704,6611.801704,WHM
5225.206752,6611.486699,5028.237826,AST
5550.692926,6605.148764,5363.868608,AST
5606.478298,6604.456436,5166.051335,AST
5617.118425,6604.099859,5348.805053,AST
5299.983737,6603.622999,5182.4079,AST
5370.384435,6599.703183,5185.420362,AST
6900.3197,6596.98357,6596.98357,WHM
5571.38894,6594.730512,5330.744481,AST
6765.206857,6590.502592,6590.502592,WHM
6805.693988,6590.338734,6590.338734,WHM
6778.335472,6588.379036,6588.379036,SGE
5321.165323,6588.162652,5229.527496,AST
6762.554212,6587.759716,6587.759716,SGE
5448.475293,6586.389405,5277.444746,AST
6988.47701,6583.88142,6583.88142,WHM
5316.716783,6582.79677,5097.875731,AST
6674.950614,6581.349432,6581.349432,SGE
6675.717017,6576.431778,6576.431778,SGE
5380.150315,6575.223784,5140.385198,AST
5480.369301,6574.406317,5273.323311,AST
5381.838883,6573.360641,5251.566193,AST
6917.105978,6571.595462,6571.595462,WHM
6895.261875,6570.272693,6570.272693,SGE
6844.990157,6567.927714,6567.927714,SGE
6792.021891,6567.247243,6567.247243,SGE
5385.598419,6567.1017,5187.739103,AST
6768.05455,6565.264635,6565.264635,WHM
6723.385232,6563.304854,6563.304854,SGE
7100.397518,6563.254316,6563.254316,WHM
5417.181201,6560.547572,5130.679334,AST
5266.578948,6558.72084,5016.33661,AST
6783.185636,6557.040729,6557.040729,SGE
5320.493986,6556.725518,5113.037635,AST
5269.493337,6556.639395,5093.183888,AST
5366.064371,6554.574268,5075.929776,AST
5373.124231,6553.72122,5190.129844,AST
6874.142877,6553.19103,6553.19103,SGE
5380.481134,6552.984147,5153.671628,AST
5279.698213,6550.989262,5117.416831,AST
5359.158116,6550.423089,5073.589176,AST
5357.687342,6550.234953,5140.770785,AST
6725.071237,6549.775781,6549.775781,SGE
6731.342283,6549.730792,6549.730792,SGE
6820.821277,6548.908821,6548.908821,SGE
7140.756501,6547.737256,6547.737256,WHM
6804.155122,6547.340733,6547.340733,SGE
7013.145713,6546.953755,6546.953755,WHM
5395.884182,6546.641149,5145.473331,AST
5434.560833,6546.096225,5156.065946,AST
6748.404776,6544.273929,6544.273929,WHM
5545.916231,6543.232042,5206.630931,AST
5278.104691,6543.001185,5053.701507,AST
5247.293599,6542.660666,4998.239858,AST
5412.481269,6542.229458,5192.08514,AST
5372.770946,6541.090983,5143.87535,AST
5300.655991,6540.189939,5152.263405,AST
5351.875577,6539.339657,5114.881416,AST
6652.033018,6539.103211,6539.103211,SGE
6794.6989,6538.610783,6538.610783,WHM
