aDPS,rDPS,nDPS,Class
11773.27112,10947.21627,10947.21627,SAM
10662.92768,10945.42371,10052.14552,DRG
10615.8463,10945.22368,10281.31279,DRG
10565.82445,10943.72011,10262.51047,NIN
10502.76471,10942.89227,10243.9114,DRG
10819.94681,10942.64908,10327.63804,MNK
10702.44031,10940.57742,10337.12235,DRG
10868.91762,10939.13517,10451.41048,MNK
11543.25575,10938.8902,10938.8902,SAM
10834.2821,10938.88951,10189.41553,NIN
10396.60119,10938.01908,10307.57249,NIN
10641.07251,10937.78079,10132.03714,DRG
11457.14819,10937.63731,10937.63731,SAM
10646.03117,10932.75808,10224.958,NIN
11310.96116,10931.22355,10931.22355,SAM
10947.98103,10930.0199,10171.24567,NIN
10998.10822,10929.87986,10080.63187,DRG
11754.28208,10928.86011,10928.86011,SAM
10842.96347,10927.65816,10301.21293,MNK
10487.46161,10927.01046,10155.21108,NIN
10833.06749,10926.28747,9960.087396,DRG
11523.09611,10925.71937,10925.71937,SAM
10706.74652,10923.61657,10166.84351,NIN
10601.10163,10923.24652,10182.21963,DRG
11016.59704,10923.1983,10451.35273,RPR
10708.84431,10923.1904,10107.13649,NIN
10757.87573,10922.08001,10302.78032,MNK
10521.18702,10921.56863,10122.58065,DRG
10730.35805,10919.80231,10121.79259,NIN
10618.22338,10919.38858,10158.93743,DRG
10655.45463,10919.33914,10172.91965,NIN
10887.79334,10919.2886,10183.54337,DRG
11453.26187,10919.02764,10919.02764,SAM
10465.2946,10918.7866,10247.12067,NIN
11764.45333,10918.43421,10918.43421,SAM
10607.64087,10917.56931,10020.53927,DRG
11175.57427,10916.85627,10480.22339,RPR
11143.701,10916.41834,10511.78936,RPR
11497.56625,10911.56086,10911.56086,SAM
11672.08084,10911.56079,10911.56079,SAM
10726.02596,10910.85923,10158.4928,DRG
10764.83388,10910.08301,10056.67429,DRG
10756.17359,10908.97814,10154.896,NIN
10658.0407,10908.56462,10423.85904,MNK
10823.06512,10908.22701,10396.69776,MNK
11017.81766,10908.0447,10128.09631,NIN
11551.32685,10906.95319,10906.95319,SAM
10420.17018,10906.81593,10114.64866,DRG
10800.06251,10906.19339,10168.55187,NIN
10585.19619,10904.06942,10068.27134,NIN
10909.2371,10904.00835,10182.95186,NIN
10536.23446,10903.51164,10035.09642,DRG
11452.77295,10903.19984,10903.19984,SAM
11657.9751,10902.8842,10902.8842,SAM
10721.70921,10902.15198,10473.74402,MNK
10811.08479,10901.90168,10388.67926,MNK
10977.19685,10901.41181,10136.5701,DRG
10714.77404,10901.30292,10082.02973,DRG
10738.1481,10900.73005,10454.72762,MNK
10853.39369,10900.66193,10112.77244,NIN
11303.21579,10900.3978,10900.3978,SAM
10793.67793,10900.07256,10278.75254,NIN
10556.64635,10897.33049,10040.91672,NIN
11096.51406,10896.82557,10463.04486,RPR
10668.10636,10896.55091,10131.94965,NIN
10467.20218,10896.40625,10086.87127,DRG
11704.89613,10896.10829,10896.10829,SAM
11254.33505,10895.83926,10895.83926,SAM
10907.832,10894.64806,10522.44956,RPR
10688.53759,10894.29365,10176.3693,NIN
10832.75621,10893.63313,10328.53846,MNK
11057.58686,10892.35949,10484.69489,RPR
10697.96727,10892.21248,10349.24325,NIN
11089.50111,10892.03453,10330.10917,MNK
10922.75574,10891.44309,10385.37215,MNK
10714.39975,10890.61171,10064.81099,NIN
10624.40204,10890.2778,10378.65374,MNK
11970.58905,10889.83069,10889.83069,SAM
10682.56723,10889.31582,10095.51112,DRG
10504.08004,10888.89004,10167.72357,NIN
10482.67632,10888.87862,10098.7216,NIN
11215.12241,10888.56785,10888.56785,SAM
10990.16404,10887.68232,10470.78423,RPR
10379.79895,10886.73997,10132.98983,DRG
10726.48869,10886.28502,10139.40407,NIN
10901.40127,10884.96086,10008.48738,NIN
10585.05202,10883.3194,10095.76644,NIN
11703.22577,10882.25188,10882.25188,SAM
10979.82056,10881.76896,10517.39951,RPR
10468.64277,10880.99138,10107.96495,DRG
11197.24716,10879.74694,10421.28519,RPR
10919.70039,10879.45703,10320.35215,MNK
11716.31038,10878.75616,10878.75616,SAM
11626.97819,10878.51824,10878.51824,SAM
11430.67348,10877.68124,10877.68124,SAM
10695.78577,10876.37124,10059.90773,DRG
11246.40916,10876.23326,10876.23326,SAM
11413.08662,10875.70212,10875.70212,SAM
10164.10325,10875.51848,9946.760709,DRG
10840.72612,10875.08843,10420.74761,RPR
10662.61355,10872.77005,10297.21991,NIN
10417.48077,10872.67445,10018.47738,DRG
11498.94856,10872.62661,10872.62661,SAM
11385.47524,10872.61325,10872.61325,SAM
10484.51571,10871.20953,10086.45098,NIN
10655.85393,10870.90454,10027.66294,DRG
10631.66949,10870.54265,10458.7028,RPR
10811.41098,10870.0833,10489.52759,RPR
11371.68488,10868.97776,10868.97776,SAM
10752.32403,10868.25096,10316.44121,MNK
11209.28259,10867.96024,10250.94052,MNK
11570.8167,10867.6981,10867.6981,SAM
10996.29976,10867.27492,10274.097,MNK
10612.049,10867.11158,10090.14277,DRG
10839.31248,10866.70347,10128.90577,NIN
10899.59922,10866.56954,10468.20813,RPR
10567.09304,10865.39904,9997.535779,NIN
11231.3862,10865.32056,10865.32056,SAM
10755.93286,10865.0236,10048.30941,DRG
10679.14226,10864.83266,10087.42339,NIN
10395.18495,10864.8009,10101.96771,NIN
10908.42212,10864.79367,10119.06169,NIN
10742.62894,10864.56306,10327.50348,MNK
10852.18074,10864.27503,10273.34661,MNK
10764.7536,10863.80185,10326.14687,MNK
10581.01727,10862.08995,10142.4652,NIN
10675.59701,10862.01753,9981.179941,DRG
10722.6977,10861.98894,10014.0214,NIN
10713.96139,10861.02835,10220.89988,NIN
10779.99871,10860.57194,10404.09443,RPR
11857.35861,10860.56806,10860.56806,SAM
10543.41102,10860.35299,10251.71024,NIN
10847.21961,10859.43015,10230.61599,NIN
11944.20398,10858.68892,10858.68892,SAM
10819.10584,10858.10697,10383.92847,RPR
10777.19198,10857.96364,10102.56327,DRG
10637.03937,10856.85606,10248.47549,MNK
10734.37865,10856.44701,10179.65322,MNK
10899.04434,10855.82593,10306.058,MNK
10498.01463,10854.93137,9988.403264,DRG
11346.68784,10854.62447,10854.62447,SAM
10845.51659,10854.26965,10060.46039,NIN
11621.73656,10853.57476,10853.57476,SAM
10663.8064,10852.95786,10148.11587,DRG
11368.5995,10852.12289,10852.12289,SAM
10949.93243,10852.04355,10042.16647,DRG
10713.32879,10852.01611,10316.52833,MNK
10729.06707,10851.7783,10097.94171,NIN
11712.24557,10850.65117,10850.65117,SAM
11951.58684,10850.49197,10850.49197,SAM
10574.24446,10850.19371,10163.06062,NIN
11751.46395,10850.08219,10850.08219,SAM
10800.26004,10849.95801,10359.09604,RPR
10951.52035,10848.73668,10011.89122,NIN
11336.62928,10848.33745,10848.33745,SAM
10930.29571,10848.00461,10412.00648,RPR
10484.65286,10847.56762,10224.74288,NIN
10933.02336,10847.2833,10443.04752,RPR
11542.39304,10845.959,10845.959,SAM
10697.20228,10845.68017,10075.01969,NIN
10830.78021,10843.02,10074.03145,DRG
10449.02091,10841.56873,10068.38366,DRG
10508.65846,10840.76072,10075.14778,DRG
10667.41301,10840.66144,10176.05143,NIN
11403.9581,10840.00498,10840.00498,SAM
11605.00712,10837.15953,10837.15953,SAM
11560.90853,10836.99447,10836.99447,SAM
10729.23744,10836.98101,10097.73881,DRG
10769.75121,10836.40733,9996.45736,DRG
11286.37956,10836.39514,10836.39514,SAM
10852.44419,10835.97048,10343.60536,RPR
11902.69823,10835.23414,10835.23414,SAM
10612.32682,10833.68587,10238.94475,MNK
11273.36257,10832.5837,10832.5837,SAM
11775.08072,10832.13633,10832.13633,SAM
10821.70162,10831.51564,10180.25387,MNK
10605.15896,10831.37608,10014.43704,NIN
10918.35585,10831.2407,10831.2407,SAM
11336.92078,10831.1177,10831.1177,SAM
10429.92943,10831.04792,10183.37847,NIN
10752.28199,10829.88597,10093.16393,NIN
10957.92892,10829.1307,10044.822,DRG
10369.06435,10828.53722,9971.461463,DRG
10794.6147,10828.35993,9934.589945,DRG
10571.10438,10827.69617,10345.75468,RPR
11069.79663,10826.47768,10499.45445,RPR
10657.79124,10824.28083,9976.219714,DRG
10420.69462,10823.84503,10064.98424,DRG
11264.18727,10823.82003,10823.82003,SAM
11428.03334,10823.48078,10823.48078,SAM
10870.78475,10823.01348,10251.38575,MNK
10531.28771,10822.56505,9951.008121,DRG
11435.27213,10821.81527,10821.81527,SAM
10570.54892,10821.69362,10038.23916,DRG
11064.03057,10821.23264,10364.54769,MNK
11216.69939,10821.16224,10821.16224,SAM
10622.6285,10819.2784,10370.74658,RPR
11602.93805,10819.26775,10819.26775,SAM
11014.50496,10819.14371,10322.35555,RPR
10787.00346,10818.37938,10391.59624,RPR
11614.68111,10818.33959,10818.33959,SAM
11355.88048,10818.12098,10818.12098,SAM
10484.01187,10817.97005,10240.16901,MNK
11491.88056,10817.32501,10817.32501,SAM
10710.8696,10815.81819,9968.160816,DRG
11385.67136,10815.75269,10815.75269,SAM
11434.70083,10815.41789,10815.41789,SAM
11007.29963,10814.78942,10234.20513,MNK
10884.7447,10814.72517,10196.32968,MNK
11583.61375,10814.51699,10814.51699,SAM
11329.82902,10814.28516,10814.28516,SAM
11475.75054,10814.00956,10814.00956,SAM
10727.65518,10813.36531,10341.58904,MNK
11211.26057,10813.15449,10813.15449,SAM
10380.08378,10812.9601,10276.35298,MNK
10795.77995,10812.81951,10224.47774,MNK
11712.22659,10812.74418,10812.74418,SAM
11782.43157,10812.1211,10812.1211,SAM
10487.87279,10811.14554,10086.43596,DRG
11573.25451,10810.64967,10810.64967,SAM
11635.29713,10810.32515,10810.32515,SAM
10833.04165,10809.90237,10330.42046,MNK
10532.10098,10809.68079,9954.536459,DRG
11116.02173,10809.64094,10809.64094,SAM
11648.88345,10809.14053,10809.14053,SAM
10947.62657,10807.93056,10355.68093,RPR
11674.40124,10807.89585,10807.89585,SAM
10839.79337,10807.42776,10253.51005,MNK
11095.5211,10805.55641,10448.23196,RPR
10596.29551,10805.54166,10064.88109,DRG
10596.14268,10803.93683,9973.073318,DRG
10851.83622,10801.81168,9901.054403,DRG
10498.62546,10801.41245,10034.67033,DRG
10427.34928,10801.11178,9960.22889,DRG
10686.99842,10800.83693,9918.637715,DRG
10546.75661,10798.54027,9934.652968,DRG
10712.2037,10797.08371,10096.33148,DRG
10855.4299,10795.64674,10327.24459,RPR
11099.2304,10795.49938,10378.35209,RPR
10444.5912,10792.66648,9983.048445,DRG
10564.56121,10792.09089,10102.50581,DRG
10866.96,10781.95297,10298.4657,RPR
10916.51466,10776.65015,10408.03694,RPR
10745.1898,10774.51676,10343.9872,RPR
10938.9547,10771.35307,10389.32317,RPR
10683.41094,10761.30156,10366.89624,RPR
10328.94937,10759.67875,10328.94937,RPR
10824.31405,10744.98426,10293.27657,RPR
10951.56283,10743.24083,10324.73262,RPR
10844.05283,10741.66949,10342.22511,RPR
10856.83367,10736.56586,10338.79647,RPR
10593.54076,10736.33254,10362.13939,RPR
10582.48398,10735.97518,10313.4846,RPR
10820.93908,10733.17733,10280.72523,RPR
10903.26153,10731.98682,10291.53009,RPR
11069.80874,10728.41247,10271.93338,RPR
10706.38193,10705.11511,10248.12942,RPR
10983.34698,10703.01948,10259.33997,RPR
10575.63397,10701.17812,10336.64383,RPR
10831.84362,10696.20878,10339.42596,RPR
10936.18494,10695.98436,10366.79328,RPR
10841.81303,10691.00473,10309.19846,RPR
10855.35454,10690.59365,10293.53862,RPR
10896.76482,10685.94796,10286.14425,RPR
10410.77087,10683.32265,10274.35966,RPR
10735.53454,10679.33791,10241.45724,RPR
10549.13013,10678.38686,10267.16245,RPR
10661.32543,10671.83808,10318.82256,RPR
10861.74898,10663.05621,10308.42893,RPR
10640.32385,10660.57246,10254.23992,RPR
10492.11277,10659.51064,10270.38025,RPR
10621.20868,10657.90641,10294.25244,RPR
10678.3442,10655.73772,10239.55258,RPR
11086.60808,10650.95099,10199.5014,RPR
10809.96909,10649.86151,10246.30004,RPR
10821.90474,10649.41397,10293.30086,RPR
10764.35377,10643.15087,10252.30862,RPR
10648.60447,10631.48989,10230.52831,RPR
10524.39127,10631.14355,10276.21437,RPR
10490.50238,10630.15751,10264.50791,RPR
10486.55987,10626.71815,10229.56435,RPR
10651.44299,10626.59702,10257.71203,RPR
10869.66606,10624.94983,10243.32192,RPR
10735.04682,10623.70469,10253.79456,RPR
10708.87241,10621.22941,10232.00128,RPR
10498.09526,10619.82125,10262.68726,RPR
10897.61022,10618.26784,10150.36588,RPR
10479.97308,10617.43637,10251.82225,RPR
10667.28666,10611.54539,10220.30449,RPR
10515.22091,10609.42422,10225.48776,RPR
10618.45797,10606.08491,10236.42488,RPR
10498.48587,10602.6389,10133.48283,RPR
10855.8362,10594.1241,10196.28132,RPR
10771.04121,10587.35909,10130.15432,RPR
10430.6089,10586.67122,10204.39274,RPR
10635.67629,10583.36836,10186.21589,RPR
10840.66381,10583.00216,10144.23829,RPR
10576.40715,10576.20307,10189.14059,RPR
10907.36346,10574.61649,10179.95176,RPR
10656.45315,10569.94093,10165.66811,RPR
10566.69525,10569.02714,10199.98366,RPR
10407.89714,10567.23088,10118.95471,RPR
11634.50789,12078.44949,10992.05356,DRG
11697.65965,11805.14508,11061.80073,MNK
11935.31754,11758.98917,11109.9814,MNK
11745.95632,11757.62804,11061.18264,MNK
11404.95738,11749.43866,11071.09563,MNK
11652.41642,11726.47982,10959.94782,MNK
11774.47893,11723.68366,10615.6053,DRG
11611.27224,11669.49637,10974.76996,MNK
11179.3079,11668.27577,10747.21888,DRG
11435.39458,11651.4084,10614.82242,DRG
11532.95447,11650.00144,10893.3366,MNK
11840.59832,11643.33099,10931.98635,MNK
11094.79368,11630.46042,10978.8265,MNK
11590.38651,11621.13265,10755.30248,DRG
11033.04697,11620.73794,10659.26979,DRG
11028.67926,11612.5174,10560.90991,DRG
11366.90855,11611.42273,10832.61014,NIN
11097.87927,11606.36776,10498.5647,DRG
11628.55032,11592.26621,10936.99002,MNK
10992.04826,11589.19342,10566.97428,DRG
11441.53596,11587.83549,10875.49443,MNK
11203.24954,11584.60709,10700.3722,DRG
11250.00971,11583.82851,11015.30197,MNK
10930.15175,11570.5254,10487.69391,DRG
10976.14255,11567.43212,10659.52067,DRG
11649.8328,11563.42509,10925.99259,MNK
11590.49238,11561.66547,10771.1876,NIN
11556.13308,11561.13143,10938.82181,MNK
11489.02124,11557.71495,10570.33998,NIN
11414.21866,11555.16833,10952.34751,MNK
11002.23777,11554.54579,10597.04941,DRG
11213.61895,11552.62992,10907.49933,MNK
11396.28719,11550.05524,10806.53752,MNK
11299.57921,11548.18056,10602.58082,DRG
11902.33844,11545.81308,10850.07412,MNK
11313.99272,11539.17227,10587.02974,NIN
11541.72225,11536.87796,10770.31364,NIN
11145.86812,11536.65136,10688.30451,DRG
11274.26471,11536.40026,10772.74918,NIN
11482.88107,11536.33923,10878.28522,MNK
