aDPS,rDPS,nDPS,Class
7363.24318,6891.056208,6891.056208,WAR
7223.404904,6888.512239,6888.512239,WAR
7388.864632,6887.234882,6887.234882,WAR
7171.666496,6885.631777,6885.631777,WAR
7231.668979,6885.349967,6885.349967,WAR
7256.793666,6884.835687,6884.835687,WAR
7158.738346,6882.603677,6882.603677,WAR
7307.252344,6881.986967,6881.986967,WAR
7115.473471,6880.331064,6880.331064,WAR
7428.975804,6873.319512,6873.319512,WAR
7243.134144,6870.819852,6870.819852,WAR
7057.991328,6868.731983,6868.731983,WAR
7244.732815,6868.544391,6868.544391,WAR
7095.625511,6867.890915,6867.890915,WAR
7230.799541,6867.361403,6867.361403,WAR
7254.141168,6866.635874,6866.635874,WAR
7051.639436,6862.591605,6862.591605,WAR
7354.69531,6862.332431,6862.332431,WAR
7288.998153,6861.131752,6861.131752,WAR
7270.538706,6858.097595,6858.097595,WAR
6971.195577,6856.283612,6856.283612,WAR
7165.404971,6855.673795,6855.673795,WAR
7214.395236,6854.960334,6854.960334,WAR
7279.629749,6849.527483,6849.527483,WAR
7360.984357,6846.507092,6846.507092,WAR
7172.256894,6845.965431,6845.965431,WAR
7355.871372,6842.641174,6842.641174,WAR
7028.583506,6838.889434,6838.889434,WAR
7049.781524,6838.386802,6838.386802,WAR
7033.885103,6838.152738,6838.152738,WAR
7265.437807,6837.98718,6837.98718,WAR
8243.859156,7676.457845,7676.457845,GNB
7894.508296,7560.907982,7560.907982,PLD
8201.770633,7537.477134,7537.477134,GNB
7873.763976,7522.613197,7522.613197,GNB
8112.661016,7516.286579,7516.286579,GNB
7753.776243,7494.974472,7494.974472,PLD
7741.146118,7477.421411,7477.421411,PLD
7680.123945,7474.452317,7474.452317,PLD
7984.251353,7471.131695,7471.131695,GNB
7822.06851,7470.375868,7470.375868,PLD
8075.742961,7463.360344,7463.360344,DRK
7728.142063,7463.070692,7463.070692,PLD
7581.957638,7461.741996,7461.741996,GNB
7907.418494,7456.809158,7456.809158,GNB
7800.696111,7453.166184,7453.166184,GNB
7961.737399,7447.088625,7447.088625,GNB
7903.759351,7443.118015,7443.118015,GNB
7819.323972,7440.757293,7440.757293,GNB
7692.00474,7438.382593,7438.382593,PLD
7820.110241,7431.594383,7431.594383,PLD
7975.586262,7430.517807,7430.517807,GNB
7757.912922,7424.005202,7424.005202,GNB
8084.318272,7422.482915,7422.482915,DRK
7758.187968,7422.339145,7422.339145,GNB
8179.311654,7419.945047,7419.945047,DRK
7879.891076,7419.469368,7419.469368,GNB
7755.603397,7418.476597,7418.476597,GNB
7946.941025,7414.547527,7414.547527,DRK
7783.44834,7411.42985,7411.42985,GNB
8010.998565,7411.107357,7411.107357,DRK
8308.279682,7410.312284,7410.312284,DRK
7765.796952,7409.596736,7409.596736,GNB
7865.505896,7408.581853,7408.581853,GNB
7967.354397,7408.183692,7408.183692,GNB
7984.166715,7406.284979,7406.284979,DRK
8052.39599,7405.848562,7405.848562,GNB
8012.03334,7405.229833,7405.229833,DRK
7669.015427,7404.732653,7404.732653,PLD
