aDPS,rDPS,nDPS,Class
10072.53736,10228.70554,9439.997584,RDM
9939.032323,10224.81864,9526.874124,RDM
9872.142927,10224.17091,9572.790421,RDM
9804.223894,10220.85122,9444.330776,RDM
9811.184196,10220.32451,9449.008625,RDM
9966.76549,10219.96677,9524.116479,RDM
9992.224068,10217.00278,9501.793206,RDM
10050.96883,10215.73186,9575.868295,RDM
9923.381752,10214.61135,9535.301833,RDM
9809.647976,10206.68074,9453.666792,RDM
9974.078494,10205.54826,9470.706679,RDM
9855.285547,10201.4166,9489.881546,RDM
10044.2938,10200.27345,9443.378225,RDM
9845.17722,10198.48102,9456.051175,RDM
9798.219999,10195.03674,9520.595158,RDM
10034.98887,10193.85163,9471.532194,RDM
10040.5992,10191.00699,9426.205482,RDM
9965.977391,10184.34074,9675.079663,RDM
9711.906773,10183.95812,9464.098547,RDM
9737.438781,10183.02935,9486.75595,RDM
10088.34961,10181.8369,9516.760577,RDM
9793.052923,10181.75003,9378.090335,RDM
9840.445154,10178.50044,9413.868978,RDM
9806.443454,10177.75469,9404.148662,RDM
9797.911405,10176.10569,9309.482303,RDM
10133.86616,10175.15323,9388.684496,RDM
9735.457562,10174.99539,9373.971682,RDM
9808.703334,10174.97879,9389.198684,RDM
9943.752107,10172.57442,9379.635527,RDM
9671.033783,10172.28522,9296.966989,RDM
9946.399916,10169.28447,9470.287711,RDM
9870.872244,10168.50079,9544.464097,RDM
9895.864759,10166.78179,9446.12096,RDM
9920.712803,10160.07548,9304.095841,RDM
9730.814604,10159.22276,9555.670114,RDM
9602.226461,10158.51165,9535.431001,RDM
10044.40762,10156.72954,9392.446057,RDM
9975.981144,10155.71938,9361.617491,RDM
9765.739884,10155.51966,9382.868081,RDM
9993.452567,10153.41984,9440.602511,RDM
9767.325124,10152.89285,9399.016066,RDM
9870.783869,10150.65422,9426.3878,RDM
9697.279192,10150.61011,9406.407251,RDM
12492.22708,11764.06677,11764.06677,BLM
12289.60108,11761.87332,11761.87332,BLM
12107.25957,11575.93662,11575.93662,BLM
11963.72531,11477.22909,11477.22909,BLM
12255.66323,11454.66976,11454.66976,BLM
12094.82834,11443.41195,11443.41195,BLM
11894.32236,11434.70423,11434.70423,BLM
11745.54572,11419.16418,11419.16418,BLM
11925.30778,11419.09018,11419.09018,BLM
11813.87653,11410.84532,11410.84532,BLM
11767.79963,11394.19152,11394.19152,BLM
11627.23658,11390.95276,11390.95276,BLM
11895.01314,11365.4859,11365.4859,BLM
12059.85834,11359.63588,11359.63588,BLM
11910.96245,11353.35621,11353.35621,BLM
11675.17977,11285.24593,11285.24593,BLM
12190.78949,11277.23329,11277.23329,BLM
11731.45191,11276.8705,11276.8705,BLM
12009.50262,11269.33581,11269.33581,BLM
11623.63275,11263.66736,11263.66736,BLM
11660.85142,11248.48427,11248.48427,BLM
11627.03083,11248.25029,11248.25029,BLM
11677.72407,11244.90927,11244.90927,BLM
11736.65987,11244.16304,11244.16304,BLM
11798.21975,11243.45926,11243.45926,BLM
11804.0659,11242.21815,11242.21815,BLM
11588.13611,11214.43736,11214.43736,BLM
11627.88045,11210.56161,11210.56161,BLM
11651.56327,11207.71821,11207.71821,BLM
11786.061,11207.5617,11207.5617,BLM
11536.35771,11201.74612,11201.74612,BLM
11831.59331,11194.42555,11194.42555,BLM
11368.33358,11190.47428,11190.47428,BLM
11739.87292,11185.03428,11185.03428,BLM
11566.16882,11184.33566,11184.33566,BLM
11900.4176,11180.82179,11180.82179,BLM
11750.58387,11180.16281,11180.16281,BLM
11474.43453,11179.76287,11179.76287,BLM
12069.71597,11173.75276,11173.75276,BLM
11635.88057,11171.65822,11171.65822,BLM
11732.77543,11170.37047,11170.37047,BLM
11740.85367,11165.278,11165.278,BLM
11531.50315,11160.46093,11160.46093,BLM
11649.38703,11159.73235,11159.73235,BLM
11918.33745,11153.91999,11153.91999,BLM
11616.70885,11150.61643,11150.61643,BLM
11557.77741,11134.10073,11134.10073,BLM
11785.56659,11123.98603,11123.98603,BLM
11653.47231,11123.12275,11123.12275,BLM
11361.74289,11121.7823,11121.7823,BLM
11766.23679,11116.83915,11116.83915,BLM
11299.47834,11116.16947,11116.16947,BLM
11621.15527,11113.68078,11113.68078,BLM
11379.47432,11108.83801,11108.83801,BLM
11615.50138,11106.37375,11106.37375,BLM
11651.8035,11103.99378,11103.99378,BLM
11769.3465,11102.39142,11102.39142,BLM
11926.81368,11101.25191,11101.25191,BLM
11491.73155,11099.85343,11099.85343,BLM
11537.7906,11092.61924,11092.61924,BLM
11555.3984,11083.13579,11083.13579,BLM
11529.31322,11079.04785,11079.04785,BLM
11313.33546,11076.11268,11076.11268,BLM
11585.63406,11067.51106,11067.51106,BLM
11587.65976,11062.82917,11062.82917,BLM
11565.44733,11061.1086,11061.1086,BLM
11510.17478,11058.89826,11058.89826,BLM
11370.17766,11055.17619,11055.17619,BLM
11392.13747,11054.27442,11054.27442,BLM
11529.16689,11052.18788,11052.18788,BLM
11537.20638,11051.24103,11051.24103,BLM
11427.0123,11050.42009,11050.42009,BLM
11464.31109,11043.92212,11043.92212,BLM
11793.04422,11040.30294,11040.30294,BLM
11488.86675,11037.9977,11037.9977,BLM
11370.53724,11037.41389,11037.41389,BLM
11251.25739,11035.57493,11035.57493,BLM
11414.71139,11034.30392,11034.30392,BLM
11383.88787,11031.56311,11031.56311,BLM
11463.71167,11031.39578,11031.39578,BLM
11283.14726,11030.98009,11030.98009,BLM
10793.63066,11030.32889,10185.57999,RDM
11509.95991,11025.12742,11025.12742,BLM
11524.36232,11023.58946,11023.58946,BLM
11624.72182,11022.28219,11022.28219,BLM
11388.25574,11022.12795,11022.12795,BLM
11500.75258,11022.07466,11022.07466,BLM
11464.62999,11020.82742,11020.82742,BLM
11310.56854,11012.98452,11012.98452,BLM
11399.56741,11011.55129,11011.55129,BLM
11483.68212,11010.19724,11010.19724,BLM
11356.862,11007.96716,11007.96716,BLM
11515.89436,11006.8615,11006.8615,BLM
11474.50678,11004.81383,11004.81383,BLM
11282.74195,11004.07887,11004.07887,BLM
11688.5761,11002.01341,11002.01341,BLM
11220.11834,11001.28967,11001.28967,BLM
11372.30951,11001.2552,11001.2552,BLM
11405.70538,11000.66321,11000.66321,BLM
11601.30497,10999.7591,10999.7591,BLM
11278.71326,10996.82639,10996.82639,BLM
10764.16484,10955.14926,10182.30009,RDM
11108.72226,10950.21644,10341.89384,SMN
10721.80229,10936.78885,10238.78162,SMN
10727.93302,10934.30995,10282.75049,SMN
10924.24297,10926.37526,10306.26989,SMN
10932.36504,10914.59028,10216.79036,SMN
10852.84264,10904.88856,10266.64692,SMN
10929.85731,10837.50587,10099.58379,SMN
10267.79387,10834.70613,10017.69817,RDM
10388.47456,10819.1541,9830.678206,RDM
10237.39083,10818.60932,9948.859028,RDM
10246.27613,10813.72385,10010.87004,RDM
10544.78151,10808.99185,10085.43916,SMN
10556.73268,10805.95523,10165.71742,SMN
10323.8836,10790.01587,9936.004552,RDM
10647.90789,10789.04791,10163.15464,SMN
10571.97611,10781.8241,10140.08707,SMN
10420.74017,10778.94925,10102.9084,SMN
10281.18553,10776.26223,9812.449235,RDM
10904.7762,10770.78761,10145.20954,SMN
10638.60825,10765.14411,10122.37911,SMN
10450.15305,10762.78574,10125.52194,SMN
10719.09462,10762.67917,10123.56344,SMN
10849.33174,10759.75294,10082.87958,SMN
11189.69397,10757.6231,10103.66935,SMN
10854.35052,10753.26836,10100.45229,SMN
10750.09695,10746.372,10114.16798,SMN
10919.05105,10745.0721,10129.43302,SMN
11012.75349,10745.07023,10117.97899,SMN
10563.065,10744.54568,10106.45273,SMN
10269.03986,10742.84044,9819.660542,RDM
10761.87472,10740.62038,10086.33056,SMN
10906.76915,10739.08902,10117.52264,SMN
10637.93632,10738.56655,10099.53727,SMN
11072.12327,10738.24691,10011.39115,SMN
10912.74275,10736.34324,10103.53588,SMN
10617.86171,10731.17124,10115.40171,SMN
10715.45454,10724.2653,10128.22459,SMN
10446.32093,10723.61234,9934.803628,RDM
10264.9796,10723.57684,9877.41706,RDM
10639.38134,10721.87925,10106.60717,SMN
10357.92289,10721.09656,10047.92696,SMN
10246.01061,10719.31634,10099.41921,SMN
